iter	Passed	Remaining
0	55	55142
1	55	27767
2	56	18610
3	56	14035
4	56	11275
5	57	9445
6	57	8127
7	57	7145
8	57	6380
9	58	5763
10	58	5256
11	58	4836
12	59	4481
13	59	4177
14	59	3910
15	59	3678
16	60	3477
17	60	3298
18	60	3138
19	61	2998
20	61	2864
21	61	2744
22	62	2638
23	62	2542
24	62	2450
25	63	2363
26	63	2283
27	63	2208
28	63	2139
29	64	2075
30	64	2016
31	64	1960
32	65	1907
33	65	1857
34	65	1810
35	66	1768
36	66	1726
37	66	1686
38	66	1647
39	67	1612
40	67	1579
41	67	1546
42	68	1515
43	68	1485
44	68	1456
45	68	1429
46	69	1402
47	69	1378
48	69	1355
49	70	1333
50	70	1310
51	70	1288
52	70	1268
53	71	1248
54	71	1228
55	71	1209
56	72	1193
57	72	1175
58	72	1159
59	72	1143
60	73	1127
61	73	1113
62	73	1098
63	74	1083
64	74	1069
65	74	1057
66	75	1044
67	75	1031
68	75	1019
69	75	1008
70	76	996
71	76	985
72	76	973
73	77	963
74	77	953
75	77	943
76	77	934
77	78	924
78	78	915
79	78	905
80	79	897
81	79	888
82	79	878
83	79	870
84	80	862
85	80	854
86	80	846
87	80	839
88	81	831
89	81	824
90	81	817
91	82	811
92	82	803
93	82	796
94	82	790
95	83	783
96	83	777
97	83	770
98	84	764
99	84	758
100	84	753
101	84	747
102	85	741
103	85	736
104	85	730
105	85	724
106	86	719
107	86	714
108	86	710
109	87	705
110	87	700
111	87	696
112	88	691
113	88	686
114	88	682
115	88	677
116	89	672
117	89	668
118	89	663
119	89	659
120	90	655
121	90	651
122	90	646
123	90	642
124	91	638
125	91	635
126	91	630
127	92	627
128	92	623
129	92	619
130	92	616
131	93	613
132	93	609
133	93	606
134	94	602
135	94	599
136	94	596
137	94	592
138	95	590
139	95	587
140	95	584
141	96	580
142	96	578
143	96	575
144	97	572
145	97	569
146	97	566
147	97	563
148	98	560
149	98	558
150	98	555
151	99	552
152	99	550
153	99	547
154	99	544
155	100	542
156	100	539
157	100	537
158	101	534
159	101	532
160	101	529
161	101	526
162	102	523
163	102	521
164	102	519
165	102	516
166	103	514
167	103	512
168	103	509
169	103	507
170	104	505
171	104	503
172	104	501
173	105	498
174	105	496
175	105	494
176	106	493
177	106	491
178	106	489
179	107	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	478
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	463
193	111	461
194	111	459
195	111	458
196	111	456
197	112	454
198	112	453
199	112	451
200	113	450
201	113	448
202	113	447
203	114	445
204	114	443
205	114	442
206	115	440
207	115	438
208	115	437
209	115	436
210	116	434
211	116	433
212	116	431
213	117	430
214	117	429
215	117	427
216	118	425
217	118	424
218	118	422
219	118	421
220	119	419
221	119	418
222	119	417
223	120	416
224	120	414
225	120	413
226	121	412
227	121	410
228	121	409
229	121	408
230	122	406
231	122	405
232	122	404
233	123	403
234	123	401
235	123	400
236	123	399
237	124	397
238	124	396
239	124	395
240	125	394
241	125	392
242	125	391
243	125	390
244	126	389
245	126	388
246	127	387
247	127	385
248	127	384
249	127	383
250	128	382
251	128	381
252	128	379
253	128	378
254	129	377
255	129	376
256	129	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	370
262	131	369
263	132	368
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	133	361
270	134	360
271	134	359
272	134	358
273	135	357
274	135	356
275	135	355
276	135	354
277	136	353
278	136	352
279	136	352
280	137	351
281	137	350
282	137	349
283	138	348
284	138	347
285	138	346
286	138	345
287	139	344
288	139	343
289	139	342
290	140	341
291	140	340
292	140	339
293	141	338
294	141	337
295	141	337
296	142	336
297	142	335
298	142	334
299	143	333
300	143	333
301	143	332
302	143	331
303	144	330
304	144	329
305	144	328
306	145	327
307	145	326
308	145	325
309	146	325
310	146	324
311	146	323
312	146	322
313	147	321
314	147	320
315	147	319
316	148	318
317	148	318
318	148	317
319	149	316
320	149	316
321	149	315
322	150	314
323	150	313
324	150	312
325	150	312
326	151	311
327	151	310
328	151	309
329	152	309
330	152	308
331	152	307
332	153	306
333	153	306
334	153	305
335	154	304
336	154	303
337	154	303
338	155	302
339	155	301
340	155	300
341	155	300
342	156	299
343	156	298
344	156	297
345	157	297
346	157	296
347	157	295
348	158	295
349	158	294
350	158	293
351	159	292
352	159	292
353	159	291
354	159	290
355	160	289
356	160	289
357	160	288
358	161	287
359	161	286
360	161	286
361	162	285
362	162	284
363	162	284
364	162	283
365	163	282
366	163	282
367	163	281
368	164	280
369	164	279
370	164	279
371	165	278
372	165	278
373	165	277
374	165	276
375	166	276
376	166	275
377	166	274
378	167	273
379	167	273
380	167	272
381	168	271
382	168	271
383	168	270
384	168	269
385	169	269
386	169	268
387	169	267
388	170	267
389	170	266
390	170	265
391	171	265
392	171	264
393	171	264
394	172	263
395	172	262
396	172	262
397	172	261
398	173	260
399	173	260
400	173	259
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	256
407	176	255
408	176	254
409	176	254
410	177	253
411	177	253
412	177	252
413	178	252
414	178	251
415	178	250
416	178	250
417	179	249
418	179	249
419	179	248
420	180	247
421	180	247
422	180	246
423	181	246
424	181	245
425	181	245
426	182	244
427	182	243
428	182	243
429	183	242
430	183	242
431	183	241
432	184	241
433	184	240
434	184	240
435	185	239
436	185	238
437	185	238
438	185	237
439	186	236
440	186	236
441	186	235
442	186	235
443	187	234
444	187	233
445	187	233
446	187	232
447	188	231
448	188	231
449	188	230
450	188	229
451	189	229
452	189	228
453	189	228
454	189	227
455	190	226
456	190	226
457	190	225
458	190	225
459	191	224
460	191	223
461	191	223
462	191	222
463	192	222
464	192	221
465	192	220
466	192	220
467	193	219
468	193	218
469	193	218
470	193	217
471	194	217
472	194	216
473	194	216
474	195	215
475	195	214
476	195	214
477	195	213
478	196	213
479	196	212
480	196	212
481	197	211
482	197	211
483	197	210
484	197	210
485	198	209
486	198	209
487	198	208
488	198	207
489	199	207
490	199	206
491	199	206
492	199	205
493	200	204
494	200	204
495	200	203
496	200	203
497	201	202
498	201	202
499	201	201
500	201	201
501	202	200
502	202	200
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	204	196
509	204	196
510	204	195
511	204	195
512	205	194
513	205	194
514	205	193
515	205	193
516	206	192
517	206	192
518	206	191
519	206	190
520	207	190
521	207	189
522	207	189
523	207	188
524	208	188
525	208	187
526	208	187
527	208	186
528	209	186
529	209	185
530	209	185
531	209	184
532	210	184
533	210	183
534	210	183
535	210	182
