iter	Passed	Remaining
0	59	59290
1	59	29781
2	60	19948
3	60	15026
4	60	12071
5	60	10092
6	61	8683
7	61	7636
8	61	6820
9	62	6163
10	62	5622
11	62	5169
12	63	4788
13	63	4462
14	63	4184
15	64	3936
16	64	3717
17	64	3522
18	64	3347
19	65	3192
20	65	3053
21	65	2924
22	66	2807
23	66	2701
24	66	2602
25	67	2510
26	67	2426
27	67	2346
28	67	2271
29	68	2202
30	68	2137
31	68	2077
32	69	2022
33	69	1970
34	69	1924
35	70	1878
36	70	1835
37	70	1791
38	71	1752
39	71	1714
40	71	1678
41	72	1643
42	72	1610
43	72	1580
44	73	1551
45	73	1521
46	73	1493
47	73	1467
48	74	1441
49	74	1417
50	74	1392
51	75	1369
52	75	1348
53	75	1328
54	76	1307
55	76	1288
56	76	1268
57	76	1250
58	77	1233
59	77	1218
60	78	1201
61	78	1186
62	78	1172
63	79	1157
64	79	1142
65	79	1129
66	80	1114
67	80	1101
68	80	1088
69	81	1077
70	81	1065
71	81	1053
72	81	1040
73	82	1029
74	82	1018
75	82	1008
76	83	998
77	83	987
78	83	978
79	84	968
80	84	959
81	84	949
82	84	938
83	85	929
84	85	920
85	85	912
86	86	904
87	86	896
88	86	888
89	87	880
90	87	872
91	87	864
92	87	857
93	88	850
94	88	843
95	88	836
96	89	829
97	89	822
98	89	816
99	90	810
100	90	804
101	90	798
102	91	792
103	91	786
104	91	781
105	91	775
106	92	769
107	92	764
108	92	759
109	93	753
110	93	748
111	93	743
112	94	738
113	94	733
114	94	728
115	95	724
116	95	718
117	95	714
118	95	709
119	96	705
120	96	700
121	96	696
122	97	691
123	97	687
124	97	683
125	97	679
126	98	674
127	98	671
128	98	668
129	99	664
130	99	660
131	99	657
132	100	653
133	100	650
134	100	646
135	101	642
136	101	639
137	101	636
138	102	632
139	102	629
140	102	625
141	102	621
142	103	618
143	103	614
144	103	611
145	103	608
146	104	605
147	104	603
148	105	600
149	105	597
150	105	594
151	105	591
152	106	588
153	106	585
154	106	582
155	107	579
156	107	577
157	107	574
158	108	572
159	108	569
160	108	566
161	108	563
162	109	560
163	109	558
164	109	555
165	110	553
166	110	550
167	110	548
168	111	547
169	111	544
170	111	542
171	112	540
172	112	537
173	112	535
174	113	533
175	113	531
176	113	528
177	114	526
178	114	525
179	114	523
180	115	521
181	115	519
182	115	516
183	116	515
184	116	512
185	116	510
186	117	509
187	117	507
188	117	505
189	118	503
190	118	501
191	118	500
192	119	498
193	119	496
194	119	494
195	120	493
196	120	492
197	121	490
198	121	489
199	121	487
200	122	485
201	122	483
202	122	482
203	123	480
204	123	478
205	123	477
206	124	475
207	124	473
208	124	471
209	124	469
210	125	468
211	125	466
212	125	464
213	126	463
214	126	461
215	126	459
